Comment,Designator,Footprint,LCSC
1k,"R1,R3,R8",R_0402_1005Metric,C11702
B5817,D2,D_SOD-323,C123899
LED,D1,LED_0402_1005Metric,C130719
100n,"C10,C11,C12,C13,C14,C7,C8,C9",C_0402_1005Metric,C1525
15p,"C3,C4",C_0402_1005Metric,C1548
1µ,"C1,C2",C_0603_1608Metric,C19666
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
Crystal_GND24,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149204
USB_C_Receptacle_USB2.0,J1,GT-USB-7014C,C963373 
27,"R6,R7",R_0402_1005Metric,C25100
10k,"R11,R2,R9",R_0402_1005Metric,C25744
5.1k,"R10,R4,R5",R_0402_1005Metric,C25905
SW_Push,SW1,SW_SPST_CK_KXT3,C319433
GD25Q80CEIGR,U2,USON-8-1EP_3x2mm_P0.5mm_EP0.25x1.65mm,C395484
1µ,"C5,C6",C_0402_1005Metric,C52923
Polyfuse,F1,Fuse_0603_1608Metric,C69679
XC6210B332MR-G,U3,SOT-23-5,C82942
FerriteBead_Small,FB1,L_0603_1608Metric,C98288
