Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µ,C_0603_1608Metric,153.25,-89.45,0.0,top
C2,1µ,C_0603_1608Metric,156.35,-89.45,180.0,top
C3,15p,C_0402_1005Metric,150.1,-106.15,0.0,top
C4,15p,C_0402_1005Metric,152.1,-106.15,180.0,top
C5,1µ,C_0402_1005Metric,158.1,-93.6,-90.0,top
C6,1µ,C_0402_1005Metric,156.05,-92.15,0.0,top
C7,100n,C_0402_1005Metric,152.1,-91.4,90.0,top
C8,100n,C_0402_1005Metric,154.5,-102.1,0.0,top
C9,100n,C_0402_1005Metric,146.9,-98.7,-90.0,top
C10,100n,C_0402_1005Metric,149.73,-88.75,0.0,top
C11,100n,C_0402_1005Metric,157.1,-93.6,-90.0,top
C12,100n,C_0402_1005Metric,147.7,-93.7,90.0,top
C13,100n,C_0402_1005Metric,157.8,-97.95,90.0,top
C14,100n,C_0402_1005Metric,154.5,-103.2,0.0,top
D1,LED,LED_0402_1005Metric,154.5,-105.4,0.0,top
D2,B5817,D_SOD-323,151.7,-86.85,-90.0,top
F1,Polyfuse,Fuse_0603_1608Metric,149.9,-86.7,-90.0,top
FB1,FerriteBead_Small,L_0603_1608Metric,147.25,-85.85,90.0,top
J1,USB_C_Receptacle_USB2.0,GT-USB-7014C,152.4,-75.35,180.0,top
R1,1k,R_0402_1005Metric,154.5,-104.3,180.0,top
R2,10k,R_0402_1005Metric,157.4,-101.9,0.0,top
R3,1k,R_0402_1005Metric,147.3,-101.9,180.0,top
R4,5.1k,R_0402_1005Metric,157.95,-85.4,-90.0,top
R5,5.1k,R_0402_1005Metric,148.55,-86.15,-90.0,top
R6,27,R_0402_1005Metric,153.4,-91.5,-90.0,top
R7,27,R_0402_1005Metric,154.5,-91.5,-90.0,top
R8,1k,R_0402_1005Metric,152.85,-104.3,90.0,top
R9,10k,R_0402_1005Metric,147.78,-88.75,0.0,top
R10,5.1k,R_0402_1005Metric,156.05,-91.1,180.0,top
R11,10k,R_0402_1005Metric,157.6,-91.61,90.0,top
SW1,SW_Push,SW_SPST_CK_KXT3,157.4,-104.6,90.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,152.4,-97.0,180.0,top
U2,GD25Q80CEIGR,USON-8-1EP_3x2mm_P0.5mm_EP0.25x1.65mm,148.75,-90.6,0.0,top
U3,XC6210B332MR-G,SOT-23-5,154.85,-86.95,180.0,top
Y1,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,150.8,-103.9,-90.0,top
